Municipio;Nombre de la iniciativa;Actividad/es;Dirección;Día(s);Horario;Mes;Año
F;Paso a paso;Olla y Merendero;Camino Maldonado Km 12.200;Viernes, Sábado y Domingo;12 hs;junio;2021
F;La Familia;Olla y Merendero;Teniente Galeano 2647 Bis;Miércoles y Domingo;S/D;junio;2021
F;El Mana (2);Merendero;Calle San jacinto solar 9 (Por Capitán Tula detrás de la escuela N°378);Lunes miércoles y viernes, sábados;17-20;junio;2021
F;Olla Halcones (Creando Esperanza);Olla y Merendero;Servidumbre S/N esq. Hidra cocinan en el club de fútbol;Lunes miércoles y Sábado;10:00 a 13:00 /17:30 a 20:00;junio;2021
F;Olla de fe;Olla y Merendero;Calle Jazmin casa 35;miércoles y viernes;15-19;junio;2021
F;TJP (Todos juntos podemos);Olla y Merendero;Camino maldonado 5099 esq roma.;Lunes a viernes;19;junio;2021
F;La que Toca;Olla;Torremolinos esquina Florencia;Martes, miércoles Viernes y sábados;16 a 20hs;junio;2021
F;Acción solidaria;Olla;Luis brusco 4926 esq. cambay;Lunes y miércoles;19;junio;2021
F;Olla y merendero Nuevos Rumbos;Olla y Merendero;Lucero solar 57 esq.Tres Marias;Lunes a viernes;19 a 21 hs;junio;2021
F;Merendero de la Cruz;Merendero;Camino Juan Agazzi 2883;Miércoles y sábados;17 hs;junio;2021
F;Chacaritas;Olla y Merendero;rambla costanera casaN 41 Ruta 8 Km 12500;Lunes a viernes;S/D;junio;2021
F;olla maroñas;Olla y Merendero;Pedro Piñeyrúa 4949 esquina Horacio Areco;LaV;Almuerzo merienda y cena 18hs;junio;2021
F;Juana de América;Olla y Merendero;Feliberto Hernández 3538;Sábado Y Domingo;Almuerzo y merienda;junio;2021
F;Una nueva esperanza;Olla y Merendero;Pasaje interno entre Guzmán Papini y Santa Rosa;miércoles,, jueves, Viernes y Sábados;19;junio;2021
F;Vecinos unidos todos juntos;Olla y Merendero;Sixtina 4054;Lunes a Viernes;14hs;junio;2021
F;Olla Hungría (Manos solidarias);Olla y Merendero;Hungría 3729;Lunes a Viernes;S/D;junio;2021
F;Olla y merendero Marcando sonrisas;Olla y Merendero;Santos Dumont 3924 esq. Rafael (predio de Beraca);miércoles;16 y 19 hs;junio;2021
F;Merendero Nueva España;Olla y Merendero;pasaje galicia 7037, barrio nueva españa;Lunes a Viernes;S/D;junio;2021
F;C.E.M Agrupación;Olla;Aparicio Saravia 3005 entre caviglia y feliberto Hernández;jueves;9.30 a 13.30;junio;2021
F;Comedor y Merendero ProAmigos;Olla y Merendero;Av. de Aljaba 4060 bis (Portón Blanco);Lunes Miércoles, Jueves y Sábado;16 y 19hs;junio;2021
F;(Olla manga chico);Olla;Manganga 7888 esq. Monterroso;Domingos;18;junio;2021
F;Mirando al futuro 2;Olla y Merendero;Domingo mora esq. Repetto,;Martes , jueves y domingo;18:30;junio;2021
F;Pan de vida - Martinella;Olla;Continuaciòn Caviglia calle 3 solar 24;Lunes y viernes;18;junio;2021
F;Olla la Casona;Olla y Merendero;Gregorio Rodríguez 3752 esquina general flores;V, A y D;16 y 18hs;junio;2021
